Date,Year,Month,Day,City,State,Latitude,Longitude,AQI,AQI_Category,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind_Speed,Rainfall,Pressure,Vehicle_Count,Industrial_Index,Population_Density,Construction_Activity,Festival_Season,Crop_Burning_Impact,Traffic_Level,Future_AQI,AQI_Trend
2018-01-01,2018,1,1,Delhi,Delhi,28.6139,77.209,412,Severe,285,380,95,42,12.5,28,12,85,8,0,1012,38500,9,11200,8,No,High,High,418,Increasing
2018-01-02,2018,1,2,Delhi,Delhi,28.6139,77.209,398,Severe,272,365,88,38,11.8,32,14,82,10,0,1011,37800,9,11200,8,No,High,High,405,Increasing
2018-01-03,2018,1,3,Delhi,Delhi,28.6139,77.209,385,Very Poor,258,350,82,35,10.9,35,13,80,9,0,1013,37200,9,11200,8,No,High,High,390,Stable
2018-01-04,2018,1,4,Mumbai,Maharashtra,19.076,72.8777,165,Moderate,78,125,42,18,4.2,45,25,65,12,0,1012,28500,7,21500,7,No,Low,High,170,Increasing
2018-01-05,2018,1,5,Mumbai,Maharashtra,19.076,72.8777,158,Moderate,74,120,40,17,4,48,26,68,11,0,1011,28200,7,21500,7,No,Low,High,162,Stable
2018-01-06,2018,1,6,Bengaluru,Karnataka,12.9716,77.5946,98,Satisfactory,42,75,25,12,2.5,55,22,70,9,0,1013,19800,5,9800,5,No,Low,Medium,102,Increasing
2018-01-07,2018,1,7,Chennai,Tamil Nadu,13.0827,80.2707,112,Moderate,48,82,28,14,2.8,52,27,72,14,0,1012,22500,6,15700,5,No,Low,Medium,115,Increasing
2018-01-08,2018,1,8,Kolkata,West Bengal,22.5726,88.3639,178,Moderate,85,135,45,22,5.2,40,20,75,8,0,1014,26500,7,14600,6,No,Low,High,182,Increasing
2018-01-09,2018,1,9,Gurugram,Haryana,28.4595,77.0266,425,Severe,295,395,98,45,13.2,25,11,82,7,0,1011,35200,9,9850,9,No,High,High,432,Increasing
2018-01-10,2018,1,10,Faridabad,Haryana,28.4089,77.3178,418,Severe,288,385,94,43,12.8,27,12,83,7,0,1012,34800,9,9680,9,No,High,High,425,Increasing
2018-01-15,2018,1,15,Noida,Uttar Pradesh,28.5355,77.391,408,Severe,280,378,91,41,12.2,30,11,84,6,0,1012,36500,8,10400,8,No,High,High,415,Increasing
2018-01-20,2018,1,20,Jaipur,Rajasthan,26.9124,75.7873,185,Moderate,88,140,38,19,4.5,42,18,45,11,0,1014,23200,6,8200,6,No,Low,Medium,190,Increasing
2018-02-01,2018,2,1,Delhi,Delhi,28.6139,77.209,365,Very Poor,245,340,82,38,11.2,38,16,78,9,0,1013,38500,9,11200,8,No,High,High,370,Stable
2018-02-05,2018,2,5,Lucknow,Uttar Pradesh,26.8467,80.9462,275,Poor,165,245,65,28,7.8,35,19,72,7,0,1014,27800,7,8900,7,No,Medium,High,280,Increasing
2018-02-10,2018,2,10,Pune,Maharashtra,18.5204,73.8567,145,Moderate,62,108,35,15,3.5,50,24,60,12,0,1013,24500,6,11200,6,No,Low,Medium,150,Increasing
2018-02-15,2018,2,15,Chandigarh,Chandigarh,30.7333,76.7794,195,Moderate,92,148,42,20,4.8,38,14,65,8,0,1015,25500,6,8900,6,No,Medium,High,200,Increasing
2018-02-20,2018,2,20,Amritsar,Punjab,31.634,74.8726,285,Poor,175,255,68,30,8.2,32,13,70,7,0,1013,26800,7,7500,7,No,High,High,292,Increasing
2018-03-01,2018,3,1,Delhi,Delhi,28.6139,77.209,295,Poor,185,275,72,32,9.5,42,22,65,12,5,1012,38500,9,11200,8,No,High,High,300,Stable
2018-03-10,2018,3,10,Mumbai,Maharashtra,19.076,72.8777,142,Moderate,60,105,38,16,3.5,52,28,62,14,15,1012,28500,7,21500,7,No,Low,High,138,Decreasing
2018-03-15,2018,3,15,Bengaluru,Karnataka,12.9716,77.5946,85,Satisfactory,35,65,22,10,2.2,60,26,58,11,22,1014,19800,5,9800,5,No,Low,Medium,82,Decreasing
2018-04-01,2018,4,1,Delhi,Delhi,28.6139,77.209,245,Poor,155,235,65,28,8.5,48,28,45,14,8,1009,38500,9,11200,8,No,High,High,250,Increasing
2018-04-15,2018,4,15,Chennai,Tamil Nadu,13.0827,80.2707,108,Satisfactory,45,78,25,12,2.5,58,32,70,15,32,1010,22500,6,15700,5,No,Low,Medium,105,Decreasing
2018-05-01,2018,5,1,Delhi,Delhi,28.6139,77.209,218,Poor,135,210,58,25,7.5,55,32,40,16,5,1008,38500,9,11200,8,No,High,High,225,Increasing
2018-05-15,2018,5,15,Kolkata,West Bengal,22.5726,88.3639,165,Moderate,78,125,42,20,4.8,48,30,78,10,85,1009,26500,7,14600,6,No,Low,High,158,Decreasing
2018-06-01,2018,6,1,Delhi,Delhi,28.6139,77.209,195,Moderate,105,175,52,22,6.8,52,35,55,18,45,1005,38000,9,11200,8,No,High,High,190,Decreasing
2018-06-15,2018,6,15,Mumbai,Maharashtra,19.076,72.8777,125,Moderate,52,95,32,14,3.2,58,30,75,22,280,1006,28000,7,21500,7,No,Low,High,118,Decreasing
2018-07-01,2018,7,1,Delhi,Delhi,28.6139,77.209,175,Moderate,88,155,48,20,6.2,50,32,70,15,125,1004,37500,9,11200,8,No,High,High,168,Decreasing
2018-07-10,2018,7,10,Pune,Maharashtra,18.5204,73.8567,108,Satisfactory,45,82,28,12,2.8,58,28,82,18,210,1007,24000,6,11200,6,No,Low,Medium,102,Decreasing
